week_ending,retailer,region,brand,sku,price,units,dollars,promo_flag,feature_display,stores_selling,on_promo,featured
2024-03-03,Walmart,Midwest,Garrett,Cheddar 6oz,5.49,19,104.31,0,0,333,No,No
2024-03-03,Walmart,Midwest,Garrett,Caramel 6oz,5.29,24,126.96,0,0,348,No,No
2024-03-03,Walmart,Midwest,Garrett,Mix 10oz,8.99,22,197.78,0,0,347,No,No
2024-03-03,Walmart,Midwest,Garrett,Caramel 10oz,6.54,21,137.34,1,0,323,Yes,No
2024-03-03,Walmart,Midwest,Garrett,Cheddar 10oz,8.79,19,167.01,0,0,339,No,No
2024-03-03,Walmart,Midwest,Garrett,Variety 12pk,14.39,21,302.19,1,1,351,Yes,Yes
2024-03-03,Walmart,Midwest,Competitor A,Cheddar 6oz,5.49,40,219.6,0,0,675,No,No
2024-03-03,Walmart,Midwest,Competitor A,Caramel 6oz,4.72,56,264.32,1,0,717,Yes,No
2024-03-03,Walmart,Midwest,Competitor A,Mix 10oz,8.99,51,458.49,0,0,699,No,No
2024-03-03,Walmart,Midwest,Competitor A,Caramel 10oz,8.49,35,297.15,0,0,683,No,No
2024-03-03,Walmart,Midwest,Competitor A,Cheddar 10oz,7.84,61,478.24,1,0,700,Yes,No
2024-03-03,Walmart,Midwest,Competitor A,Variety 12pk,18.99,25,474.75,0,0,693,No,No
2024-03-03,Walmart,Midwest,Competitor B,Cheddar 6oz,4.68,21,98.28,1,0,406,Yes,No
2024-03-03,Walmart,Midwest,Competitor B,Caramel 6oz,5.29,21,111.09,0,0,423,No,No
2024-03-03,Walmart,Midwest,Competitor B,Mix 10oz,8.99,26,233.74,0,0,419,No,No
2024-03-03,Walmart,Midwest,Competitor B,Caramel 10oz,8.49,22,186.78,0,0,416,No,No
2024-03-03,Walmart,Midwest,Competitor B,Cheddar 10oz,8.79,17,149.43,0,0,417,No,No
2024-03-03,Walmart,Midwest,Competitor B,Variety 12pk,18.99,11,208.89,0,0,412,No,No
2024-03-03,Walmart,Northeast,Garrett,Cheddar 6oz,5.49,19,104.31,0,0,354,No,No
2024-03-03,Walmart,Northeast,Garrett,Caramel 6oz,4.36,25,109.0,1,0,353,Yes,No
2024-03-03,Walmart,Northeast,Garrett,Mix 10oz,8.99,23,206.77,0,0,346,No,No
2024-03-03,Walmart,Northeast,Garrett,Caramel 10oz,8.49,17,144.33,0,0,363,No,No
2024-03-03,Walmart,Northeast,Garrett,Cheddar 10oz,8.79,18,158.22,0,0,360,No,No
2024-03-03,Walmart,Northeast,Garrett,Variety 12pk,18.99,10,189.9,0,0,340,No,No
2024-03-03,Walmart,Northeast,Competitor A,Cheddar 6oz,4.24,63,267.12,1,0,711,Yes,No
2024-03-03,Walmart,Northeast,Competitor A,Caramel 6oz,5.29,42,222.18,0,0,734,No,No
2024-03-03,Walmart,Northeast,Competitor A,Mix 10oz,8.99,45,404.55,0,0,678,No,No
2024-03-03,Walmart,Northeast,Competitor A,Caramel 10oz,8.49,34,288.66,0,0,687,No,No
2024-03-03,Walmart,Northeast,Competitor A,Cheddar 10oz,8.79,34,298.86,0,0,682,No,No
2024-03-03,Walmart,Northeast,Competitor A,Variety 12pk,18.99,21,398.79,0,0,696,No,No
2024-03-03,Walmart,Northeast,Competitor B,Cheddar 6oz,5.49,24,131.76,0,0,416,No,No
2024-03-03,Walmart,Northeast,Competitor B,Caramel 6oz,5.29,20,105.8,0,1,427,No,Yes
2024-03-03,Walmart,Northeast,Competitor B,Mix 10oz,8.99,24,215.76,0,0,428,No,No
2024-03-03,Walmart,Northeast,Competitor B,Caramel 10oz,8.49,14,118.86,0,0,413,No,No
2024-03-03,Walmart,Northeast,Competitor B,Cheddar 10oz,8.79,19,167.01,0,0,436,No,No
2024-03-03,Walmart,Northeast,Competitor B,Variety 12pk,18.99,13,246.87,0,0,408,No,No
2024-03-03,Walmart,South,Garrett,Cheddar 6oz,5.49,13,71.37,0,0,336,No,No
2024-03-03,Walmart,South,Garrett,Caramel 6oz,5.29,14,74.06,0,0,354,No,No
2024-03-03,Walmart,South,Garrett,Mix 10oz,8.99,14,125.86,0,0,335,No,No
2024-03-03,Walmart,South,Garrett,Caramel 10oz,8.49,14,118.86,0,0,339,No,No
2024-03-03,Walmart,South,Garrett,Cheddar 10oz,7.89,26,205.14,1,1,356,Yes,Yes
2024-03-03,Walmart,South,Garrett,Variety 12pk,18.99,8,151.92,0,0,360,No,No
2024-03-03,Walmart,South,Competitor A,Cheddar 6oz,5.49,54,296.46,0,0,743,No,No
2024-03-03,Walmart,South,Competitor A,Caramel 6oz,5.29,31,163.99,0,0,691,No,No
2024-03-03,Walmart,South,Competitor A,Mix 10oz,8.99,45,404.55,0,0,715,No,No
2024-03-03,Walmart,South,Competitor A,Caramel 10oz,8.49,35,297.15,0,0,741,No,No
2024-03-03,Walmart,South,Competitor A,Cheddar 10oz,7.06,44,310.64,1,0,716,Yes,No
2024-03-03,Walmart,South,Competitor A,Variety 12pk,18.99,22,417.78,0,0,721,No,No
2024-03-03,Walmart,South,Competitor B,Cheddar 6oz,5.49,17,93.33,0,0,407,No,No
2024-03-03,Walmart,South,Competitor B,Caramel 6oz,5.29,21,111.09,0,0,414,No,No
2024-03-03,Walmart,South,Competitor B,Mix 10oz,8.99,18,161.82,0,0,413,No,No
2024-03-03,Walmart,South,Competitor B,Caramel 10oz,8.49,16,135.84,0,1,436,No,Yes
2024-03-03,Walmart,South,Competitor B,Cheddar 10oz,8.79,17,149.43,0,0,427,No,No
2024-03-03,Walmart,South,Competitor B,Variety 12pk,17.38,20,347.6,1,0,422,Yes,No
2024-03-03,Walmart,West,Garrett,Cheddar 6oz,5.49,24,131.76,0,1,361,No,Yes
2024-03-03,Walmart,West,Garrett,Caramel 6oz,5.29,15,79.35,0,0,377,No,No
2024-03-03,Walmart,West,Garrett,Mix 10oz,8.99,21,188.79,0,0,360,No,No
2024-03-03,Walmart,West,Garrett,Caramel 10oz,7.05,22,155.1,1,0,341,Yes,No
2024-03-03,Walmart,West,Garrett,Cheddar 10oz,7.84,21,164.64,1,0,350,Yes,No
2024-03-03,Walmart,West,Garrett,Variety 12pk,18.99,14,265.86,0,0,367,No,No
2024-03-03,Walmart,West,Competitor A,Cheddar 6oz,5.49,37,203.13,0,0,709,No,No
2024-03-03,Walmart,West,Competitor A,Caramel 6oz,5.29,45,238.05,0,0,714,No,No
2024-03-03,Walmart,West,Competitor A,Mix 10oz,8.99,45,404.55,0,0,699,No,No
2024-03-03,Walmart,West,Competitor A,Caramel 10oz,8.49,38,322.62,0,0,711,No,No
2024-03-03,Walmart,West,Competitor A,Cheddar 10oz,8.79,41,360.39,0,0,695,No,No
2024-03-03,Walmart,West,Competitor A,Variety 12pk,18.99,24,455.76,0,0,691,No,No
2024-03-03,Walmart,West,Competitor B,Cheddar 6oz,5.49,21,115.29,0,0,413,No,No
2024-03-03,Walmart,West,Competitor B,Caramel 6oz,4.11,24,98.64,1,1,407,Yes,Yes
2024-03-03,Walmart,West,Competitor B,Mix 10oz,8.99,21,188.79,0,1,440,No,Yes
2024-03-03,Walmart,West,Competitor B,Caramel 10oz,8.49,16,135.84,0,0,406,No,No
2024-03-03,Walmart,West,Competitor B,Cheddar 10oz,8.79,18,158.22,0,0,429,No,No
2024-03-03,Walmart,West,Competitor B,Variety 12pk,18.99,14,265.86,0,0,425,No,No
2024-03-03,Target,Midwest,Garrett,Cheddar 6oz,5.49,20,109.8,0,0,401,No,No
2024-03-03,Target,Midwest,Garrett,Caramel 6oz,5.29,19,100.51,0,0,420,No,No
2024-03-03,Target,Midwest,Garrett,Mix 10oz,8.99,26,233.74,0,0,415,No,No
2024-03-03,Target,Midwest,Garrett,Caramel 10oz,8.49,19,161.31,0,0,417,No,No
2024-03-03,Target,Midwest,Garrett,Cheddar 10oz,7.53,26,195.78,1,0,421,Yes,No
2024-03-03,Target,Midwest,Garrett,Variety 12pk,18.99,14,265.86,0,0,439,No,No
2024-03-03,Target,Midwest,Competitor A,Cheddar 6oz,5.49,36,197.64,0,0,578,No,No
2024-03-03,Target,Midwest,Competitor A,Caramel 6oz,5.29,39,206.31,0,1,558,No,Yes
2024-03-03,Target,Midwest,Competitor A,Mix 10oz,8.99,39,350.61,0,0,576,No,No
2024-03-03,Target,Midwest,Competitor A,Caramel 10oz,8.49,28,237.72,0,0,563,No,No
2024-03-03,Target,Midwest,Competitor A,Cheddar 10oz,8.79,35,307.65,0,0,561,No,No
2024-03-03,Target,Midwest,Competitor A,Variety 12pk,18.99,19,360.81,0,0,574,No,No
2024-03-03,Target,Midwest,Competitor B,Cheddar 6oz,4.25,20,85.0,1,0,394,Yes,No
2024-03-03,Target,Midwest,Competitor B,Caramel 6oz,5.29,12,63.48,0,0,393,No,No
2024-03-03,Target,Midwest,Competitor B,Mix 10oz,8.99,21,188.79,0,0,384,No,No
2024-03-03,Target,Midwest,Competitor B,Caramel 10oz,8.49,18,152.82,0,1,381,No,Yes
2024-03-03,Target,Midwest,Competitor B,Cheddar 10oz,8.79,14,123.06,0,0,379,No,No
2024-03-03,Target,Midwest,Competitor B,Variety 12pk,18.99,13,246.87,0,1,399,No,Yes
2024-03-03,Target,Northeast,Garrett,Cheddar 6oz,5.49,20,109.8,0,0,425,No,No
2024-03-03,Target,Northeast,Garrett,Caramel 6oz,5.29,13,68.77,0,0,399,No,No
2024-03-03,Target,Northeast,Garrett,Mix 10oz,7.53,28,210.84,1,0,428,Yes,No
2024-03-03,Target,Northeast,Garrett,Caramel 10oz,7.14,20,142.8,1,0,409,Yes,No
